model_key,model,r2,mae,rmse,cv_r2_mean,cv_r2_sd
consensus,Consensus ensemble,0.6288943756603971,0.37389515931131845,0.525454249151656,0.6281725192394497,0.01336466278210241
extra_trees,Extra trees,0.6232613418162025,0.3634538909820836,0.5294271798922551,0.6207557770055482,0.014929296472461806
random_forest,Random forest,0.6091724162107834,0.38500402894992064,0.5392358330495276,0.604701009984655,0.01349840567719031
hist_gradient_boosting,Histogram gradient boosting,0.5982276175622305,0.40265720693932605,0.5467341232755353,0.59801605941931,0.01731145994819287
ridge,Ridge regression,0.49865852438107194,0.4626014812915929,0.6107352086761814,0.4856518879552783,0.01703772677412486
