Molecule ChEMBL ID,pIC50,Smiles
CHEMBL1094304,4.204815410317576,CC[C@H](CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1
CHEMBL1095956,5.721246399047171,C=CCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C
CHEMBL1096627,6.1249387366083,COc1c(C(C)C)cc2c(c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2
CHEMBL1097665,4.8696662315049934,CC(=O)CCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C
CHEMBL1097666,5.619788758288394,C#CCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C
CHEMBL1097667,4.863279432843593,CCCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C
CHEMBL1097668,5.795880017344075,C#CCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O)C(C)C)C(C)C)C(C)C
CHEMBL1097669,5.638272163982407,C#CCCCC[C@@H](C)C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)C)C(C)C)C(C)C)C(C)C
CHEMBL1097670,5.229147988357855,C#CCCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)C)C(C)C)C(C)C)C(C)C
CHEMBL1097671,5.371280716570093,C=CCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)C)C(C)C)C(C)C)C(C)C
CHEMBL1097672,5.508638306165727,C#CCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)C)C(C)C)C(C)C)C(C)C
CHEMBL1097673,5.173925197299173,C=CCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)C)C(C)C)C(C)C)C(C)C
CHEMBL1097674,4.853871964321762,C#CCCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C)C(C)C
CHEMBL1097675,5.3872161432802645,C=CCCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C)C(C)C
CHEMBL1097676,5.251811972993799,C#CCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C)C(C)C
CHEMBL1097677,4.853871964321762,C=CCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C)C(C)C
CHEMBL1097678,4.853871964321762,C#CCCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)OC)C(C)C)C(C)C)C(C)C
CHEMBL1097679,4.853871964321762,C=CCCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)OC)C(C)C)C(C)C)C(C)C
CHEMBL1097680,4.853871964321762,C#CCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)OC)C(C)C)C(C)C)C(C)C
CHEMBL1097681,4.853871964321762,C=CCCCCC(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)OC)C(C)C)C(C)C)C(C)C
CHEMBL1098695,4.522878745280337,CN1C2CCC1CC(=NOC(c1ccccc1)c1ccc(Cl)cc1)C2
CHEMBL1103,5.774690718274137,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1
CHEMBL1113,4.280966338127673,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
CHEMBL113666,4.318758762624412,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)[C@@H](OC(C)=O)C(=O)N(OCc1ccccc1)C(C)=O
CHEMBL113708,3.9788107009300617,O=C1OC[C@@H](OC2CCCO2)[C@H]1OC1CCCO1
CHEMBL113843,3.995678626217358,CC1(C)OC[C@H](CSCC(=O)OCc2ccccc2)O1
CHEMBL1140,3.371125550756129,NC(=O)c1cccnc1
CHEMBL114160,4.026872146400302,O=C(NO)[C@H](OC1CCCO1)[C@@H](CCO)OC1CCCO1
CHEMBL114416,4.481486060122113,O=C(NOCc1ccccc1)[C@H](O)[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1
CHEMBL114616,4.251811972993799,O=C(C[S+]([O-])C[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1)OCc1ccccc1
CHEMBL115585,4.305394801066432,Cn1c2nc3ccccc3c-2cc2ccccc21
CHEMBL116,4.08772866639608,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
CHEMBL116018,3.886056647693163,O=C(NO)[C@H](O)[C@H](O)COP(=O)(O)O
CHEMBL11624,5.698970004336019,Nc1n[nH]c(NS(=O)(=O)c2ccccc2)n1
CHEMBL1163,4.522207592192957,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
CHEMBL1163548,4.528121800692709,Cc1nc(NC(C)C)nc(Sc2nnc3c4ccccc4n(C)c3n2)n1
CHEMBL1163610,4.809388202186395,CCN1CCN(c2nc(Sc3nnc4c5ccccc5n(C)c4n3)nc(N3CCN(CC)CC3)n2)CC1
CHEMBL1163655,4.7599502278873524,CC(C)Nc1nc(NC(C)C)nc(Sc2nnc3c4ccccc4n(C)c3n2)n1
CHEMBL1163659,5.396855627379818,Cn1c2ccccc2c2nnc(Sc3nc(N4CCCCC4)nc(N4CCCCC4)n3)nc21
CHEMBL1163663,4.590066876668706,Cc1nc(Sc2nnc3c4ccccc4n(C)c3n2)nc(N2CCCCC2)n1
CHEMBL1163664,4.238222462491822,Cc1nc(Sc2nnc3c4ccccc4n(C)c3n2)nc(N2CCN(C)CC2)n1
CHEMBL1163667,4.580044251510242,CCN1CCN(c2nc(C)nc(Sc3nnc4c5ccccc5n(C)c4n3)n2)CC1
CHEMBL1163711,4.736837535037783,CCCCNc1nc(C)nc(Sc2nnc3c4ccccc4n(C)c3n2)n1
CHEMBL1163760,4.455931955649724,O=C1C(O)=Cc2cccc3ccc(-c4ccccc4)c1c23
CHEMBL116390,4.769551078621726,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)[C@@H](OC(C)=O)C(=O)NOCc1ccccc1
CHEMBL1164385,4.455931955649724,COC1=Cc2cccc3ccc(-c4ccccc4)c(c23)C1=O
