Molecular_Weight,AlogP,TPSA,HBA,HBD,RO5_Violations,Rotatable_Bonds,QED,Aromatic_Rings,Heavy_Atoms,NP_Likeness
461.6,3.83,88.75,10.0,0.0,0.0,4.0,0.45,4.0,33.0,-1.18
392.49,3.15,85.51,9.0,0.0,0.0,3.0,0.53,4.0,28.0,-1.48
407.51,1.91,88.75,10.0,0.0,0.0,3.0,0.51,4.0,29.0,-1.51
421.53,2.3,88.75,10.0,0.0,0.0,4.0,0.49,4.0,30.0,-1.66
380.48,3.37,94.3,9.0,1.0,0.0,6.0,0.51,4.0,27.0,-1.48
272.3,4.6,37.3,2.0,1.0,0.0,1.0,0.7,3.0,21.0,0.92
585.55,4.66,135.69,10.0,1.0,1.0,16.0,0.14,3.0,41.0,0.18
286.33,4.69,26.3,2.0,0.0,0.0,2.0,0.68,3.0,22.0,1.02
326.37,4.41,48.67,5.0,0.0,0.0,4.0,0.52,3.0,23.0,-0.42
310.37,4.71,39.44,4.0,0.0,0.0,3.0,0.52,3.0,22.0,-0.54
330.79,5.06,39.44,4.0,0.0,1.0,3.0,0.5,3.0,22.0,-0.66
375.24,5.16,39.44,4.0,0.0,1.0,3.0,0.47,3.0,22.0,-0.65
302.38,4.46,39.44,5.0,0.0,0.0,3.0,0.53,3.0,20.0,-1.04
304.21,-1.14,153.42,6.0,3.0,0.0,8.0,0.29,0.0,18.0,1.11
309.33,4.44,21.26,2.0,1.0,0.0,6.0,0.85,2.0,22.0,-0.35
371.48,4.61,71.69,5.0,2.0,0.0,4.0,0.77,2.0,27.0,1.74
374.39,1.53,99.13,7.0,1.0,0.0,3.0,0.59,0.0,27.0,3.55
151.12,-2.79,110.02,5.0,5.0,0.0,3.0,0.22,0.0,10.0,0.95
541.54,5.31,101.55,8.0,1.0,2.0,13.0,0.23,3.0,38.0,0.19
281.31,0.75,77.02,5.0,2.0,0.0,5.0,0.78,1.0,20.0,0.37
461.93,4.91,89.25,6.0,1.0,0.0,5.0,0.4,5.0,32.0,-1.67
558.59,5.95,97.36,9.0,0.0,2.0,16.0,0.16,3.0,38.0,0.12
163.24,0.24,52.32,4.0,1.0,0.0,4.0,0.6,0.0,10.0,-0.04
303.34,2.52,98.22,5.0,2.0,0.0,3.0,0.72,3.0,21.0,-1.46
317.37,1.85,89.25,6.0,1.0,0.0,3.0,0.8,3.0,22.0,-2.45
289.32,2.21,98.22,5.0,2.0,0.0,3.0,0.72,3.0,20.0,-1.37
288.33,1.95,100.87,4.0,3.0,0.0,3.0,0.64,3.0,20.0,-1.31
232.29,2.93,17.98,0.0,0.0,0.0,0.0,0.43,4.0,18.0,0.34
335.37,1.51,139.68,6.0,4.0,0.0,5.0,0.41,3.0,25.0,-1.07
387.72,5.86,27.05,4.0,0.0,1.0,6.0,0.53,3.0,23.0,-1.18
182.23,3.02,28.68,1.0,1.0,0.0,0.0,0.57,3.0,14.0,0.31
503.47,5.87,126.02,4.0,4.0,1.0,11.0,0.13,4.0,32.0,0.16
363.44,2.4,73.86,6.0,1.0,0.0,8.0,0.43,1.0,25.0,0.02
566.52,5.74,159.8,10.0,4.0,2.0,5.0,0.2,6.0,42.0,1.01
240.26,2.81,54.98,3.0,1.0,0.0,1.0,0.67,3.0,18.0,-0.12
399.44,2.73,94.09,6.0,2.0,0.0,9.0,0.5,2.0,29.0,0.23
335.4,2.44,73.86,5.0,1.0,0.0,8.0,0.58,1.0,24.0,-0.04
367.47,2.54,73.86,6.0,1.0,0.0,10.0,0.51,1.0,25.0,-0.28
422.48,3.51,89.65,5.0,2.0,0.0,9.0,0.41,3.0,31.0,-0.01
131.17,0.14,52.32,3.0,1.0,0.0,2.0,0.54,0.0,9.0,0.5
345.48,2.8,88.69,5.0,3.0,0.0,9.0,0.56,0.0,24.0,-0.43
379.41,2.89,73.86,5.0,1.0,0.0,7.0,0.45,2.0,28.0,0.25
395.41,2.59,94.09,6.0,2.0,0.0,7.0,0.43,2.0,29.0,0.47
331.37,2.3,73.86,5.0,1.0,0.0,6.0,0.49,1.0,24.0,0.33
418.45,3.37,89.65,5.0,2.0,0.0,7.0,0.35,3.0,31.0,0.22
365.39,2.8,84.86,4.0,2.0,0.0,7.0,0.58,2.0,27.0,0.33
381.38,2.5,105.09,5.0,3.0,0.0,7.0,0.5,2.0,28.0,0.52
317.34,2.21,84.86,4.0,2.0,0.0,6.0,0.62,1.0,23.0,0.43
349.41,2.31,84.86,5.0,2.0,0.0,8.0,0.55,1.0,24.0,0.15
404.42,3.28,100.65,4.0,3.0,0.0,7.0,0.41,3.0,30.0,0.3
383.44,3.03,73.86,5.0,1.0,0.0,9.0,0.53,2.0,28.0,0.0
268.31,2.15,53.99,5.0,0.0,0.0,0.0,0.5,0.0,19.0,3.59
296.36,2.79,53.99,5.0,0.0,0.0,1.0,0.55,0.0,21.0,3.52
268.23,-2.32,133.49,8.0,4.0,0.0,2.0,0.48,0.0,19.0,1.01
310.39,3.18,53.99,5.0,0.0,0.0,2.0,0.58,0.0,22.0,3.5
308.37,2.95,53.99,5.0,0.0,0.0,2.0,0.45,0.0,22.0,3.57
324.42,3.57,53.99,5.0,0.0,0.0,3.0,0.59,0.0,23.0,3.38
352.47,4.2,53.99,5.0,0.0,0.0,4.0,0.56,0.0,25.0,3.25
378.39,4.11,53.99,5.0,0.0,0.0,3.0,0.55,0.0,26.0,2.78
386.49,4.4,53.99,5.0,0.0,0.0,4.0,0.57,1.0,28.0,2.73
400.52,4.79,53.99,5.0,0.0,0.0,5.0,0.4,1.0,29.0,2.67
404.48,4.54,53.99,5.0,0.0,0.0,4.0,0.54,1.0,29.0,2.26
420.93,5.05,53.99,5.0,0.0,1.0,4.0,0.5,1.0,29.0,2.45
416.51,4.41,63.22,6.0,0.0,0.0,5.0,0.52,1.0,30.0,2.55
432.58,5.12,53.99,6.0,0.0,1.0,5.0,0.37,1.0,30.0,2.29
464.58,3.8,88.13,7.0,0.0,0.0,5.0,0.48,1.0,32.0,2.05
402.49,4.1,74.22,6.0,1.0,0.0,4.0,0.6,1.0,29.0,2.86
522.48,6.44,53.99,5.0,0.0,2.0,4.0,0.26,1.0,36.0,1.88
422.47,4.68,53.99,5.0,0.0,0.0,4.0,0.52,1.0,30.0,2.3
377.47,4.02,92.55,5.0,1.0,0.0,9.0,0.53,2.0,26.0,-1.9
381.39,-2.06,208.65,11.0,6.0,2.0,7.0,0.31,2.0,27.0,1.25
